time,consum_per_hh,income_per_hh,wealth_per_hh,tot_hhs
1947-04-01,452011.5,54906.05859375,275064.5,40571956
1947-07-01,250656.953125,55452.4296875,272036.8125,40799008
1947-10-01,175582.71875,54513.69140625,267331.625,41025784
1948-01-01,132788.984375,54723.25390625,263932.25,41255112
1948-04-01,112590.609375,55012.73046875,261857.96875,41484096
1948-07-01,97083.296875,54989.515625,259366.765625,41712480
1948-10-01,86505.46875,55436.49609375,263617.90625,41940384
1949-01-01,80749.4765625,54219.7421875,267162.375,42168404
1949-04-01,75080.96875,53714.86328125,268450.3125,42395880
1949-07-01,69119.1640625,53620.80859375,271929.9375,42622616
1949-10-01,64538.08984375,53587.12890625,274468.90625,42848968
1950-01-01,61241.984375,57512.81640625,278898.65625,43078712
1950-04-01,58073.96484375,57047.05859375,280793.25,43307784
1950-07-01,56659.25,57767.95703125,279955.9375,43536284
1950-10-01,54998.703125,58385.24609375,279497.25,43764824
1951-01-01,53448.8515625,58027.3828125,273284.46875,43992208
1951-04-01,51647.56640625,59119.89453125,275526.625,44219240
1951-07-01,50773.8203125,59895.8828125,279658.46875,44445908
1951-10-01,49925.58203125,59638.8671875,280907.28125,44673132
1952-01-01,49138.46875,59688.17578125,282075.90625,44889204
1952-04-01,48679.0546875,60037.55859375,285300.65625,45105448
1952-07-01,47896.66015625,60926.98828125,284685.5,45321496
1952-10-01,47221.55859375,61890.81640625,283904.03125,45538568
1953-01-01,46938.60546875,62778.12890625,285208.375,45749584
1953-04-01,46467.4375,63040.7265625,283831.125,45961248
1953-07-01,45873.9765625,62475.59375,283871.4375,46172852
1953-10-01,44922.5078125,62012.8359375,286663.09375,46386108
1954-01-01,44368.18359375,61746.6796875,289448.3125,46528968
1954-04-01,43874.375,61561.515625,293940.03125,46672824
1954-07-01,43748.98828125,61929.8125,300768.65625,46817100
1954-10-01,43524.83203125,63004.1328125,304660,46964108
1955-01-01,43063.25390625,63983.5,306829.59375,47189508
1955-04-01,42617.68359375,65293.5078125,313454,47416808
1955-07-01,42337.48828125,66345.9765625,319173.4375,47645056
1955-10-01,42342.89453125,66875.40625,321055.65625,47877112
1956-01-01,42202.27734375,67679.140625,327661.53125,48130292
1956-04-01,42112.234375,68014.5703125,326207.6875,48386348
1956-07-01,41828.10546875,67847.8046875,324523.59375,48643536
1956-10-01,41575.21875,68461.953125,327332.0625,48906476
1957-01-01,41511.703125,68598.0703125,325702.8125,49093600
1957-04-01,41309.953125,68623.03125,328976.34375,49285516
1957-07-01,41193.25390625,68419.9140625,324706.4375,49478396
1957-10-01,41071.45703125,67777.203125,324275.6875,49678476
