time,bottom50,next40,top10,quantile_bottom50,quantile_next40,quantile_top10
7/1/89,1.12E+06,1.04E+07,1.95E+07,24052.5868,279893.2272,2.10E+06
10/1/89,1.09E+06,1.04E+07,1.97E+07,23361.77254,279247.1845,2.11E+06
1/1/90,1.14E+06,1.04E+07,1.93E+07,24283.68068,277978.5442,2.07E+06
4/1/90,1.11E+06,1.04E+07,1.94E+07,23578.12679,277571.9123,2.07E+06
7/1/90,1.15E+06,1.04E+07,1.87E+07,24472.02225,275621.3991,1.99E+06
10/1/90,1.15E+06,1.04E+07,1.91E+07,24431.34042,274942.4619,2.03E+06
1/1/91,1.16E+06,1.04E+07,1.95E+07,24463.07282,274619.0359,2.07E+06
4/1/91,1.15E+06,1.04E+07,1.93E+07,24347.46204,273372.5929,2.04E+06
7/1/91,1.22E+06,1.04E+07,1.93E+07,25666.94632,274330.1306,2.03E+06
10/1/91,1.23E+06,1.05E+07,1.98E+07,25827.66458,275618.1196,2.09E+06
1/1/92,1.28E+06,1.05E+07,1.95E+07,26832.88898,275023.6206,2.05E+06
4/1/92,1.31E+06,1.05E+07,1.92E+07,27463.9696,274317.9455,2.01E+06
7/1/92,1.37E+06,1.06E+07,1.92E+07,28637.99971,275636.9312,2.01E+06
10/1/92,1.39E+06,1.06E+07,1.98E+07,28818.49656,276463.0105,2.06E+06
1/1/93,1.33E+06,1.06E+07,2.00E+07,27619.38212,274360.4495,2.08E+06
4/1/93,1.35E+06,1.06E+07,2.01E+07,27976.23367,274302.6273,2.08E+06
7/1/93,1.36E+06,1.07E+07,2.03E+07,28163.19038,274825.7762,2.10E+06
10/1/93,1.35E+06,1.07E+07,2.08E+07,27826.68503,275133.8054,2.14E+06
1/1/94,1.32E+06,1.07E+07,2.08E+07,27127.27907,274153.8773,2.13E+06
4/1/94,1.30E+06,1.07E+07,2.07E+07,26604.54319,274009.0015,2.12E+06
7/1/94,1.31E+06,1.08E+07,2.08E+07,26709.97702,274527.8076,2.13E+06
10/1/94,1.27E+06,1.08E+07,2.09E+07,25942.29086,273889.2063,2.13E+06
1/1/95,1.28E+06,1.08E+07,2.13E+07,25975.85465,274776.6306,2.16E+06
4/1/95,1.29E+06,1.09E+07,2.16E+07,26116.48248,275268.1972,2.19E+06
7/1/95,1.24E+06,1.07E+07,2.19E+07,25080.55829,271380.9189,2.21E+06
10/1/95,1.22E+06,1.08E+07,2.25E+07,24556.3357,273140.4708,2.26E+06
1/1/96,1.23E+06,1.09E+07,2.28E+07,24715.69587,274883.6775,2.29E+06
4/1/96,1.24E+06,1.10E+07,2.30E+07,24825.90672,276482.7414,2.30E+06
7/1/96,1.25E+06,1.11E+07,2.29E+07,24878.17242,277508.9387,2.29E+06
10/1/96,1.20E+06,1.12E+07,2.34E+07,23900.66497,279132.1474,2.33E+06
1/1/97,1.23E+06,1.13E+07,2.34E+07,24387.9055,279307.5552,2.33E+06
4/1/97,1.25E+06,1.15E+07,2.45E+07,24678.84406,285110.9664,2.43E+06
7/1/97,1.26E+06,1.17E+07,2.53E+07,24882.03325,289240.285,2.49E+06
10/1/97,1.24E+06,1.18E+07,2.58E+07,24424.04404,291310.3426,2.54E+06
1/1/98,1.31E+06,1.22E+07,2.72E+07,25727.3339,299250.6966,2.67E+06
4/1/98,1.30E+06,1.24E+07,2.76E+07,25449.40187,302615.772,2.70E+06
7/1/98,1.37E+06,1.24E+07,2.65E+07,26655.36803,301843.9727,2.59E+06
10/1/98,1.30E+06,1.27E+07,2.84E+07,25255.24543,308817.0978,2.77E+06
1/1/99,1.30E+06,1.28E+07,2.83E+07,25163.7157,310912.5956,2.74E+06
4/1/99,1.24E+06,1.30E+07,2.90E+07,24063.0392,313489.8332,2.81E+06
7/1/99,1.24E+06,1.30E+07,2.85E+07,23860.19212,313541.2187,2.75E+06
10/1/99,1.24E+06,1.34E+07,3.08E+07,23860.41949,323091.8171,2.97E+06
1/1/00,1.32E+06,1.38E+07,3.13E+07,25320.08995,329836.1055,3.00E+06
4/1/00,1.32E+06,1.39E+07,3.06E+07,25183.79145,331531.1967,2.93E+06
7/1/00,1.34E+06,1.40E+07,3.08E+07,25548.56568,334485.6276,2.94E+06
10/1/00,1.30E+06,1.41E+07,2.99E+07,24673.13039,333600.4587,2.84E+06
1/1/01,1.40E+06,1.43E+07,2.94E+07,26418.26761,337968.0938,2.78E+06
4/1/01,1.38E+06,1.45E+07,3.03E+07,25941.16134,342659.5834,2.86E+06
7/1/01,1.39E+06,1.44E+07,2.90E+07,26045.38012,338278.8297,2.73E+06
10/1/01,1.34E+06,1.47E+07,3.05E+07,25096.08114,343293.5841,2.85E+06
1/1/02,1.37E+06,1.48E+07,3.07E+07,25600.80002,345748.8707,2.86E+06
4/1/02,1.34E+06,1.47E+07,2.99E+07,24927.47363,341733.4654,2.78E+06
7/1/02,1.34E+06,1.45E+07,2.85E+07,24708.63791,335855.3406,2.64E+06
10/1/02,1.32E+06,1.47E+07,2.90E+07,24310.2831,338132.8804,2.67E+06
1/1/03,1.28E+06,1.47E+07,2.89E+07,23416.89396,336772.5199,2.65E+06
4/1/03,1.20E+06,1.50E+07,3.04E+07,21896.37731,340694.0592,2.77E+06
7/1/03,1.21E+06,1.51E+07,3.09E+07,21888.16892,341951.2094,2.81E+06
10/1/03,1.18E+06,1.54E+07,3.24E+07,21395.43449,347111.829,2.92E+06
1/1/04,1.26E+06,1.59E+07,3.44E+07,22582.11006,357864.1319,3.09E+06
4/1/04,1.29E+06,1.60E+07,3.44E+07,23096.43839,358460.3594,3.08E+06
7/1/04,1.25E+06,1.62E+07,3.52E+07,22344.59876,361678.4199,3.14E+06
10/1/04,1.31E+06,1.66E+07,3.65E+07,23300.26551,368390.7347,3.24E+06
1/1/05,1.35E+06,1.68E+07,3.68E+07,23822.03605,370767.4105,3.26E+06
4/1/05,1.33E+06,1.70E+07,3.77E+07,23446.06787,374121.5614,3.33E+06
7/1/05,1.36E+06,1.72E+07,3.86E+07,23971.09903,378615.6591,3.39E+06
10/1/05,1.41E+06,1.75E+07,3.93E+07,24774.12889,383396.6724,3.44E+06
1/1/06,1.33E+06,1.75E+07,4.07E+07,23158.6066,381880.0553,3.55E+06
4/1/06,1.29E+06,1.74E+07,4.04E+07,22501.2914,379417.4203,3.52E+06
7/1/06,1.25E+06,1.74E+07,4.09E+07,21691.83839,378478.2353,3.55E+06
10/1/06,1.22E+06,1.74E+07,4.19E+07,21076.89421,376689.8154,3.63E+06
1/1/07,1.16E+06,1.72E+07,4.26E+07,19994.85105,372668.7603,3.68E+06
4/1/07,1.07E+06,1.70E+07,4.26E+07,18405.05526,365738.3212,3.67E+06
7/1/07,962315.3032,1.68E+07,4.30E+07,16576.16702,361836.6494,3.70E+06
10/1/07,779662.2006,1.64E+07,4.21E+07,13412.70951,352559.8713,3.62E+06
1/1/08,621512.0563,1.58E+07,4.04E+07,10680.93289,338643.3757,3.47E+06
4/1/08,580001.5105,1.54E+07,3.94E+07,9959.036708,330426.1381,3.38E+06
7/1/08,381960.0682,1.49E+07,3.76E+07,6553.700765,319739.1723,3.23E+06
10/1/08,293821.717,1.45E+07,3.54E+07,5037.996027,310520.9543,3.04E+06
1/1/09,156639.3293,1.41E+07,3.40E+07,2683.971571,302046.3187,2.91E+06
4/1/09,80883.18167,1.39E+07,3.42E+07,1384.871641,297137.0598,2.92E+06
7/1/09,-17990.9906,1.38E+07,3.55E+07,-307.7689539,295932.6961,3.04E+06
10/1/09,-77382.85787,1.37E+07,3.54E+07,-1322.362457,292550.4908,3.03E+06
